x,y,diff_aff
0.0,-150.0,0.009113035532168245
-14.25,-149.25,0.006567905736114099
-13.5,-149.25,0.0041736729635413194
-12.75,-149.25,0.0019906960238427196
-12.0,-149.25,-1.1204487678107e-05
-11.25,-149.25,-0.0018420883725869253
-10.5,-149.25,-0.003512015432448612
-9.75,-149.25,-0.005020985667263167
-9.0,-149.25,-0.006399178481727441
-8.25,-149.25,-0.007636534074275447
-7.5,-149.25,-0.00874311224647295
-6.75,-149.25,0.02669096739854937
-6.0,-149.25,0.025395764662357045
-5.25,-149.25,0.02430121974338384
-4.5,-149.25,0.02364733264163088
-3.75,-149.25,0.0228541033570977
-3.0,-149.25,0.022221412286653086
-2.25,-149.25,0.021879379033428403
-1.5,-149.25,0.02153794379585805
-0.75,-149.25,0.021387046772376683
0.0,-149.25,0.02130674776454944
0.75,-149.25,0.02139704677237675
1.5,-149.25,0.021547943795858115
2.25,-149.25,0.021899379033428312
3.0,-149.25,0.022241412286652995
3.75,-149.25,0.022874103357097608
4.5,-149.25,0.023677332641630855
5.25,-149.25,0.024331219743383814
6.0,-149.25,0.02544576466235693
6.75,-149.25,0.026740967398549476
7.5,-149.25,-0.00874311224647295
8.25,-149.25,-0.007636534074275447
9.0,-149.25,-0.006399178481727441
9.75,-149.25,-0.005020985667263167
10.5,-149.25,-0.003512015432448612
11.25,-149.25,-0.0018420883725869253
12.0,-149.25,-1.1204487678107e-05
12.75,-149.25,0.0019906960238427196
13.5,-149.25,0.0041736729635413194
14.25,-149.25,0.006567905736114099
-21.0,-148.5,0.008086935772494197
-20.25,-148.5,0.0035902044727462723
-19.5,-148.5,-0.0004538357565571083
-18.75,-148.5,-0.004115603526374301
-18.0,-148.5,-0.00743533804296681
-17.25,-148.5,-0.010453278512596365
-16.5,-148.5,0.030960335858475574
-15.75,-148.5,0.026855325665551932
-15.0,-148.5,0.023191571305502867
-14.25,-148.5,0.021068953175196636
-13.5,-148.5,0.017977411473068416
-12.75,-148.5,0.015216826595986888
-12.0,-148.5,0.01358713874238715
-11.25,-148.5,0.011238228309137677
-10.5,-148.5,0.009880155097804488
-9.75,-148.5,0.007932799505256272
-9.0,-148.5,0.006196101729927905
-8.25,-148.5,0.0051800617718194
-7.5,-148.5,0.0037546198293652022
-6.75,-148.5,0.0029397759025648895
-6.0,-148.5,0.0018055299914194745
-5.25,-148.5,0.0008518222943627585
-4.5,-148.5,0.00031865281139475954
-3.75,-148.5,-0.000384038259049424
-3.0,-148.5,-0.0009362509169703603
-2.25,-148.5,-0.001217925360802674
-1.5,-148.5,-0.001519121392111078
-0.75,-148.5,-0.0016297792093309393
0.0,-148.5,-0.0017000184155926412
0.75,-148.5,-0.0016197792093308738
1.5,-148.5,-0.0015091213921110125
2.25,-148.5,-0.0011979253608027651
3.0,-148.5,-0.0009162509169704514
3.75,-148.5,-0.00036403825904951503
4.5,-148.5,0.00034865281139473403
5.25,-148.5,0.000881822294362733
6.0,-148.5,0.001855529991419358
6.75,-148.5,0.002989775902564995
7.5,-148.5,0.0038046198293653077
8.25,-148.5,0.005240061771819349
9.0,-148.5,0.006256101729927854
9.75,-148.5,0.008002799505256286
10.5,-148.5,0.009970155097804634
11.25,-148.5,0.011328228309137822
12.0,-148.5,0.01368713874238714
12.75,-148.5,0.015316826595986877
13.5,-148.5,0.01810741147306838
14.25,-148.5,0.02121895317519673
15.0,-148.5,0.02334157130550296
15.75,-148.5,0.027025325665551936
16.5,-148.5,0.031160335858475552
17.25,-148.5,-0.010453278512596365
18.0,-148.5,-0.00743533804296681
18.75,-148.5,-0.004115603526374301
19.5,-148.5,-0.0004538357565571083
20.25,-148.5,0.0035902044727462723
21.0,-148.5,0.008086935772494197
-25.5,-147.75,0.0048979786762524125
-24.75,-147.75,-0.0022746598399003837
-24.0,-147.75,-0.008360839786986762
-23.25,-147.75,-0.013632175807272828
-22.5,-147.75,-0.018249624725805713
-21.75,-147.75,0.0319060958386288
-21.0,-147.75,0.02494432806881175
-20.25,-147.75,0.021654772956915425
-19.5,-147.75,0.015987071693547517
-18.75,-147.75,0.011050925270881251
-18.0,-147.75,0.008576214085785239
-17.25,-147.75,0.004442698931997446
-16.5,-147.75,0.002360320007953165
-15.75,-147.75,-0.00112098248791348
-15.0,-147.75,-0.004221387960298584
-14.25,-147.75,-0.005830956210767679
-13.5,-147.75,-0.008469806842451577
-12.75,-147.75,-0.009837939855350086
-12.0,-147.75,0.02647464475053618
-11.25,-147.75,0.025327827372077172
-10.5,-147.75,0.022701608009272123
-9.75,-147.75,0.02040592686055631
-9.0,-147.75,0.01953072412436363
-8.25,-147.75,0.017616059602260092
-7.5,-147.75,0.016911873492679863
-6.75,-147.75,0.015338105994057383
-6.0,-147.75,0.01402481690795887
-5.25,-147.75,0.013531886631252599
-4.5,-147.75,0.012529434767069914
-3.75,-147.75,0.01217734171227991
-3.0,-147.75,0.011465667268447888
-2.25,-147.75,0.010954351634008042
-1.5,-147.75,0.010793394808961354
-0.75,-147.75,0.010572856594872393
0.0,-147.75,0.010542677190176208
0.75,-147.75,0.010572856594872393
1.5,-147.75,0.010823394808961329
2.25,-147.75,0.010984351634008016
3.0,-147.75,0.011505667268447928
3.75,-147.75,0.012237341712279859
4.5,-147.75,0.012589434767069863
5.25,-147.75,0.013611886631252457
6.0,-147.75,0.014104816907958728
6.75,-147.75,0.015438105994057372
7.5,-147.75,0.017021873492679696
8.25,-147.75,0.017726059602259925
9.0,-147.75,0.01967072412436366
9.75,-147.75,0.02054592686055634
10.5,-147.75,0.02286160800927206
11.25,-147.75,0.025517827372077084
12.0,-147.75,0.026664644750536093
12.75,-147.75,-0.009707939855350123
13.5,-147.75,-0.008339806842451614
14.25,-147.75,-0.005680956210767585
15.0,-147.75,-0.004071387960298489
15.75,-147.75,-0.0009509824879134765
